Id;Date;CaptureYear;FishLength;FishWeight;Sex;Origin;ReadingAge;Age;Reader;LT;L1;L2;L3;L4;L5
FZ010;03/07/2021;2021;360;400;M;Natural;5+;5;Valerie;1129.41;304.06;559.92;772.53;925.24;1054.24
FZ012;06/07/2021;2021;340;320;F;Natural;4+;4;Valerie;1063.884;259.8156667;543.276;793.6636667;986.5363333;
FZ030;07/06/2021;2021;330;335;F;Natural;4+;4;Valerie;1112.69;319.92;607.9786667;874.0996667;1047.047667;
FZ069;23/03/2021;2021;410;539;F;Natural;5;5;Valerie;1397.697667;393.1766667;760.801;1053.568333;1255.362;1397.697667
FZ102;26/03/2021;2021;370;340;NA;Natural;5;5;Valerie;1081.331;292.3243333;568.723;804.9456667;999.776;1081.331
FZ132;23/02/2021;2021;330;400;F;Natural;4;4;Valerie;1031.183333;339.918;649.2833333;909.9453333;1031.183333;
FZ133;23/02/2021;2021;370;500;F;Natural;5;5;Valerie;1139.983333;356.8486667;622.4986667;878.4446667;1047.97;1139.983333
FZ134;06/05/2021;2021;370;330;F;Natural;5;5;Valerie;1110.916;314.689;593.6146667;864.3533333;1030.104;1110.916
FZ181;04/02/2021;2021;350;531;F;Natural;5;5;Valerie;1187.239333;307.6273333;607.4623333;886.0796667;1100.062333;1187.239333
FZ185;20/02/2021;2021;335;288;F;Natural;5;5;Valerie;1194.350667;347.7976667;672.4793333;959.7;1129.201;1194.350667
FZ187;01/03/2021;2021;308;214;M;Natural;4;4;Valerie;909.383;326.574;615.2663333;836.4406667;909.383;
FZ195;23/03/2021;2021;310;212;F;Natural;5;5;Valerie;1185.940667;336.0783333;690.4436667;904.3896667;1092.425667;1185.940667
FZ214;05/04/2021;2021;310;225;NA;Natural;5;5;Valerie;1046.578333;293.81;573.1036667;798.0186667;972.4096667;1046.578333
FZ230;27/03/2021;2021;350;304;F;Natural;5;5;Valerie;1283.772667;345.904;711.7483333;1038.187;1214.915333;1283.772667
FZ242;24/03/2021;2021;320;290;M;Natural;5;5;Valerie;1051.001667;300.0936667;633.8493333;822.749;975.5606667;1051.001667
FZ161;17/02/2021;2021;310;203;M;Rives;4;4;Valerie;1346.876;449.8493333;876.1646667;1157.962667;1346.876;
FZ162;18/02/2021;2021;305;235;F;Rives;4;4;Valerie;1217.377333;375.2456667;778.929;1058.738667;1217.377333;
FZ182;17/02/2021;2021;335;314;M;Rives;4;4;Valerie;1127.370667;367.8576667;709.7626667;983.9706667;1127.370667;
FZ294;04/04/2021;2021;310;225;F;Rives;4;4;Valerie;1197.141667;397.135;751.7023333;1075.624;1197.141667;
FZ011;06/07/2021;2021;350;370;F;Rives;4+;4;Valerie;1212.161667;371.377;679.208;946.1123333;1152.94;
FZ028;03/06/2021;2021;300;216;M;Rives;4+;4;Valerie;1056.217;325.8033333;617.842;824.3763333;1018.657667;
FZ106;16/06/2021;2021;330;280;F;Rives;4+;4;Valerie;1263.520333;306.344;657.8683333;1011.231333;1217.947333;
FZ135;31/05/2021;2021;330;300;F;Rives;4;4;Valerie;1449.704333;457.2616667;934.44;1248.998667;1449.704333;
FZ001;08/05/2021;2021;300;220;M;Rives;4+;4;Valerie;1028.112667;322.2446667;631.5903333;852.383;1000.602667;
FZ070;23/03/2021;2021;310;232;NA;Rives;4;4;Valerie;1072.717333;329.9866667;688.4553333;917.017;1072.717333;
FZ076;07/09/2021;2021;310;272;F;Rives;4+;4;Valerie;1206.026667;377.2646667;707.7413333;922.0063333;1114.501333;
FZ251;26/02/2021;2021;340;345;F;Rives;4;4;Valerie;1304.321667;443.6663333;771.622;1096.758;1304.321667;
FZ152;24/03/2021;2021;330;251;F;Rives;4;4;Valerie;1075.947667;276.91;590.7066667;887.15;1075.947667;
FZ205;18/03/2021;2021;330;250;M;Rives;4;4;Valerie;1174.412333;363.6083333;739.8006667;1014.673333;1174.412333;
FZ249;01/07/2021;2021;315;250;F;Rives;4+;4;Valerie;1181.383333;374.7423333;699.1736667;951.23;1131.95;
FZ186;23/02/2021;2021;340;335;F;Puya;5;5;Valerie;1064.075667;328.5556667;597.926;789.6886667;953.215;1064.075667
FZ142;06/04/2021;2021;310;280;M;Puya;4;4;Valerie;1039.922333;348.8863333;642.234;925.996;1039.922333;
FZ146;18/04/2021;2021;310;240;F;Puya;4;4;Valerie;1108.091667;394.894;700.1453333;998.628;1108.091667;
FZ023;28/05/2021;2021;360;390;M;Puya;5;5;Valerie;1189.045;340.464;610.703;852.8396667;1072.881;1189.045
FZ455;06/09/2021;2021;420;700;F;Puya;4+;4;Valerie;1394.847667;383.7573333;730.5376667;1046.913667;1267.057333;
FZ352;02/04/2021;2021;310;240;M;Puya;5;5;Valerie;1152.512667;353.9163333;628.608;872.804;1054.755333;1152.512667
FZ027;02/06/2021;2021;330;350;F;Puya;4+;4;Valerie;1177.633333;349.7426667;698.2053333;969.7973333;1142.334;
FZ508;11/08/2021;2021;308;232;F;Puya;4+;4;Valerie;1126.438333;345.664;675.357;912.8663333;1071.035333;
FZ324;30/03/2021;2021;340;320;M;Puya;5;5;Valerie;977.5766667;305.0026667;526.2106667;719.4973333;881.9516667;977.5766667
FZ309;29/03/2021;2021;320;260;M;Puya;4;4;Valerie;1130.525;370.2763333;703.664;973.5686667;1130.525;
FZ402;22/04/2021;2021;310;210;F;Puya;3;3;Valerie;895.808;331.468;676.0906667;895.808;;
FZ004;11/06/2021;2021;320;240;F;Puya;4+;4;Valerie;1173.886333;418.9543333;686.0856667;926.5063333;1134.255;
FZ310;31/03/2021;2021;310;250;F;Puya;4;4;Valerie;1083.183333;359.5126667;718.987;953.0496667;1083.183333;
FZ209;21/03/2021;2021;350;335;F;Puya;4;4;Valerie;1059.725;381.492;755.4823333;950.7296667;1059.725;
FZ212;27/03/2021;2021;320;230;NA;Puya;5;5;Valerie;1059.046;302.2723333;557.2003333;763;954.5376667;1059.046
FZ010;03/07/2021;2021;360;400;M;Natural;5+;5;Raphael;1186.86466666667;456.396333333333;729.928333333333;900.781666666667;1017.55233333333;1110.899
FZ012;06/07/2021;2021;340;320;F;Natural;4+;4;Raphael;1057.99833333333;404.072333333333;665.441;845.316333333333;971.403666666667;
FZ030;07/06/2021;2021;330;335;F;Natural;4+;4;Raphael;1051.95633333333;460.754666666667;724.936333333333;868.669666666667;989.224;
FZ069;23/03/2021;2021;410;539;F;Natural;5;5;Raphael;1307.20733333333;490.56;776.694333333333;975.143666666666;1153.795;1307.20733333333
FZ102;26/03/2021;2021;370;340;NA;Natural;5;5;Raphael;1068.77266666667;400.317;657.610333333333;818.138333333333;962.103666666667;1068.77266666667
FZ132;23/02/2021;2021;330;400;F;Natural;4;4;Raphael;985.428;428.051666666667;693.129666666667;849.683;985.428;
FZ133;23/02/2021;2021;370;500;F;Natural;5;5;Raphael;1051.04733333333;442.166;685.226666666667;845.996333333333;953.092;1051.04733333333
FZ134;06/05/2021;2021;370;330;F;Natural;5;5;Raphael;1104.74433333333;365.734666666667;637.379333333333;835.966333333333;980.198;1104.74433333333
FZ181;04/02/2021;2021;350;531;F;Natural;5;5;Raphael;1142.353;381.021666666667;655.341333333333;840.511;1007.71733333333;1142.353
FZ185;20/02/2021;2021;335;288;F;Natural;5;5;Raphael;1089.566;421.102;693.823666666667;865.125333333333;985.911;1089.566
FZ187;01/03/2021;2021;308;214;M;Natural;4;4;Raphael;911.901666666667;348.208666666667;619.674666666667;784.520666666667;911.901666666667;
FZ195;23/03/2021;2021;310;212;F;Natural;5;5;Raphael;1200.12333333333;466.891;757.139666666667;929.766666666667;1062.895;1200.12333333333
FZ214;05/04/2021;2021;310;225;NA;Natural;5;5;Raphael;1040.21133333333;386.155666666667;631.838333333333;809.748666666667;929.2;1040.21133333333
FZ230;27/03/2021;2021;350;304;F;Natural;5;5;Raphael;1249.615;443.756333333333;732.959;982.591333333333;1134.064;1249.615
FZ242;24/03/2021;2021;320;290;M;Natural;5;5;Raphael;1048.35166666667;471.641;629.318;810.15;942.930666666667;1048.35166666667
FZ161;17/02/2021;2021;310;203;M;Rives;4;4;Raphael;1180.12733333333;476.544;742.446;993.29833333333;1180.12733333333;
FZ162;18/02/2021;2021;305;235;F;Rives;4;4;Raphael;1067.717;504.536666666667;642.577;868.489666666667;1067.717;
FZ182;17/02/2021;2021;335;314;M;Rives;4;4;Raphael;990.996;505.162666666667;639.014;846.769666666667;990.996;
FZ294;04/04/2021;2021;310;225;F;Rives;4;4;Raphael;1063.27966666667;455.596666666667;642.828;872.294;1063.27966666667;
FZ011;06/07/2021;2021;350;370;F;Rives;4+;4;Raphael;1083.891;432.302666666667;607.590666666667;810.152333333333;976.23966666667;
FZ028;03/06/2021;2021;300;216;M;Rives;4+;4;Raphael;900.848;513.113666666667;533.343666666667;704.891666666667;823.776333333333;
FZ106;16/06/2021;2021;330;280;F;Rives;4+;4;Raphael;1021.95533333333;556.032;623.231666666667;805.973333333333;934.341666666667;
FZ135;31/05/2021;2021;330;300;F;Rives;4;4;Raphael;1222.926;381.196333333333;755.463666666667;1028.29066666667;1222.926;
FZ001;08/05/2021;2021;300;220;M;Rives;4+;4;Raphael;883.703333333333;446.464333333333;496.150333333333;692.974333333333;806.347666666667;
FZ070;23/03/2021;2021;310;232;NA;Rives;4;4;Raphael;936.883;442.949;573.243;786.564333333333;936.883;
FZ076;07/09/2021;2021;310;272;F;Rives;4+;4;Raphael;953.11266666667;498.474666666667;542.277333333333;715.681333333333;855.833666666667;
FZ251;26/02/2021;2021;340;345;F;Rives;4;4;Raphael;1067.437;452.700333333333;647.366333333333;860.985333333333;1067.437;
FZ152;24/03/2021;2021;330;251;F;Rives;4;4;Raphael;954.78233333333;441.751;609.632666666667;814.638;954.78233333333;
FZ205;18/03/2021;2021;330;250;M;Rives;4;4;Raphael;977.623;471.751;594.273333333333;842.414;977.623;
FZ249;01/07/2021;2021;315;250;F;Rives;4+;4;Raphael;1004.74266666667;469.474333333333;591.137333333333;797.370333333333;946.638333333333;
FZ186;23/02/2021;2021;340;335;F;Puya;5;5;Raphael;1027.21766666667;487.970666666667;628.921333333333;790.738333333333;910.709666666667;1027.21766666667
FZ142;06/04/2021;2021;310;280;M;Puya;4;4;Raphael;1052.70366666667;513.259;673.774;901.604666666667;1052.70366666667;
FZ146;18/04/2021;2021;310;240;F;Puya;4;4;Raphael;1025.705;516.962333333333;684.378666666667;864.064;1025.705;
FZ023;28/05/2021;2021;360;390;M;Puya;5;5;Raphael;1162.74433333333;531.892333333333;739.668333333333;943.181;1056.173;1162.74433333333
FZ455;06/09/2021;2021;420;700;F;Puya;4+;4;Raphael;1395.442;643.131666666667;885.719;1161.19233333333;1302.772;
FZ352;02/04/2021;2021;310;240;M;Puya;5;5;Raphael;1192.55;552.208666666667;737.119333333333;934.197;1065.89833333333;1192.55
FZ027;02/06/2021;2021;330;350;F;Puya;4+;4;Raphael;1179.93766666667;521.648333333333;707.252333333333;926.55;1091.59333333333;
FZ508;11/08/2021;2021;308;232;F;Puya;4+;4;Raphael;1089.51033333333;503.793;679.225666666667;873.405333333333;1001.188;
FZ324;30/03/2021;2021;340;320;M;Puya;5;5;Raphael;1046.40766666667;520.56;672.346;812.576333333333;928.797666666667;1046.40766666667
FZ309;29/03/2021;2021;320;260;M;Puya;4;4;Raphael;1165.60733333333;561.028;752.002666666667;964.895666666667;1165.60733333333;
FZ402;22/04/2021;2021;310;210;F;Puya;3;3;Raphael;971.151333333333;519.064666666667;755.281333333333;971.151333333333;;
FZ004;11/06/2021;2021;320;240;F;Puya;4+;4;Raphael;1087.05466666667;558.016;753.681333333333;911.640666666667;1028.78033333333;
FZ310;31/03/2021;2021;310;250;F;Puya;4;4;Raphael;1040.532;522.936;712.889333333333;895.237;1040.532;
FZ209;21/03/2021;2021;350;335;F;Puya;4;4;Raphael;1077.71033333333;541.969333333333;761.622;941.164333333333;1077.71033333333;
FZ212;27/03/2021;2021;320;230;NA;Puya;5;5;Raphael;1155.72966666667;557.016333333333;742.863333333333;918.701;1035.932;1155.72966666667
